No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);115.51327340580679;1.4701716;0;0;2.450286;1.4701716;113.06298740580678;0
2;Conv2d: 2-1;[1, 64, 112, 112];14.297166;8.418407320447528;1.229312;0.5776949204475289;13.067854;7.8407124;0;0
3;BatchNorm2d: 2-2;[1, 64, 112, 112];14.297166;8.418407320447528;1.229312;0.5776949204475289;13.067854;7.8407124;0;0
4;ReLU: 2-3;[1, 64, 112, 112];14.297166;8.418407320447528;1.229312;0.5776949204475289;13.067854;7.8407124;0;0
5;MaxPool2d: 2-4;[1, 64, 56, 56];109.88584282281101;2.537917720447529;1.229312;0.5776949204475289;3.267038;1.9602228;105.38949282281101;0
6;Bottleneck: 3-1;[1, 256, 56, 56];16.103502;9.629012161102949;3.035648;1.7882997611029483;13.067854;7.8407124;0;0
7;Bottleneck: 3-2;[1, 256, 56, 56];17.809486;10.791116519425886;4.741632;2.9504041194258863;13.067854;7.8407124;0;0
8;Bottleneck: 3-3;[1, 256, 56, 56];19.51547;11.953220877748823;6.447616;4.112508477748824;13.067854;7.8407124;0;0
9;Bottleneck: 3-4;[1, 512, 28, 28];112.85909159907222;10.31577309914534;9.357824;6.395345499145339;6.534046;3.9204276;96.96722159907222;0
10;Bottleneck: 3-5;[1, 512, 28, 28];114.3234358080157;11.493414823393724;11.063808000000002;7.572987223393723;6.534046;3.9204276;96.7255818080157;0
11;Bottleneck: 3-6;[1, 512, 28, 28];109.18566297769594;12.67105654764211;12.769792000000002;8.75062894764211;6.534046;3.9204276;89.88182497769594;0
12;Bottleneck: 3-7;[1, 512, 28, 28];108.58658650163126;13.848698271890495;14.475776000000003;9.928270671890495;6.534046;3.9204276;87.57676450163126;0
13;Bottleneck: 3-8;[1, 1024, 28, 28];36.776014;24.56099233547462;23.708160000000003;16.72027993547462;13.067854;7.8407124;0;0
14;Bottleneck: 3-9;[1, 1024, 28, 28];43.59995000000001;29.45238975606496;30.532096000000003;21.61167735606496;13.067854;7.8407124;0;0
15;Bottleneck: 3-10;[1, 1024, 28, 28];50.423885999999996;34.3437871766553;37.356032;26.503074776655296;13.067854;7.8407124;0;0
16;Bottleneck: 3-11;[1, 1024, 28, 28];57.247822;39.235184597245635;44.179968;31.394472197245634;13.067854;7.8407124;0;0
17;Bottleneck: 3-12;[1, 1024, 28, 28];64.071758;44.12658201783597;51.003904000000006;36.28586961783597;13.067854;7.8407124;0;0
18;Bottleneck: 3-13;[1, 1024, 28, 28];70.895694;49.01797943842631;57.82784000000001;41.17726703842631;13.067854;7.8407124;0;0
19;Bottleneck: 3-14;[1, 2048, 28, 28];120.892846;84.18912071755128;94.75737600000001;68.50783871755128;26.13547;15.681282000000001;0;0
20;Bottleneck: 3-15;[1, 2048, 28, 28];148.18859;103.41512609348064;122.05312;87.73384409348064;26.13547;15.681282000000001;0;0
21;Bottleneck: 3-16;[1, 2048, 28, 28];175.484334;122.64113146941;149.348864;106.95984946941;26.13547;15.681282000000001;0;0
22;Conv2d: 2-9;[1, 512, 28, 28];214.0073722475464;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.3217102475464344;0
23;BatchNorm2d: 2-10;[1, 512, 28, 28];213.97319920782695;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.287537207826972;0
24;ReLU: 2-11;[1, 512, 28, 28];213.9311856483365;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.24552364833652973;0
25;Conv2d: 2-13;[1, 21, 28, 28];207.51192367966854;140.06695896407754;207.23942399999999;139.90614096407754;0.26803;0.160818;0.004469679668545723;0
