0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,6.0,6.0,16.0,328.0,0.8505859375,1.0
1,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,6.0,6.0,16.0,324.0,0.8447265625,1.0
2,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,4.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,16.0,312.0,0.84375,1.0
3,8.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,6.0,8.0,4.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,288.0,0.83203125,1.0
4,8.0,6.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,4.0,8.0,6.0,8.0,8.0,6.0,6.0,6.0,6.0,284.0,0.76953125,1.0
5,8.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,4.0,8.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,280.0,0.76806640625,1.0
6,8.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0,4.0,272.0,0.751953125,1.0
7,8.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,4.0,268.0,0.7490234375,1.0
8,8.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,264.0,0.744140625,1.0
9,8.0,6.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,260.0,0.7242557406425476,1.0
10,8.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,256.0,0.7175451517105103,1.0
11,8.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,4.0,252.0,0.6847242712974548,1.0
