0,8.0,6.0,16.0,8.0,16.0,8.0,6.0,6.0,6.0,16.0,8.0,8.0,6.0,236.0,0.8466796875,1.0
1,8.0,6.0,16.0,8.0,8.0,8.0,6.0,6.0,6.0,16.0,8.0,8.0,8.0,224.0,0.845703125,1.0
2,8.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,172.0,0.8408203125,1.0
3,8.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,164.0,0.8310546875,1.0
4,8.0,6.0,8.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,8.0,8.0,4.0,160.0,0.8173828125,1.0
5,8.0,6.0,6.0,6.0,4.0,8.0,6.0,6.0,4.0,4.0,8.0,8.0,4.0,156.0,0.802734375,1.0
6,8.0,6.0,8.0,6.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,148.0,0.7978515625,1.0
7,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,144.0,0.7251098155975342,1.0
8,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,136.0,0.7093704342842102,1.0
9,6.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,132.0,0.6614202260971069,1.0
